BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Australia 200 ETF,,,,,,,,,
Fund ASX Code,A200,,,,,,,,,
Date,2023-02-17,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
WTC AT,BZ8GX83,WISETECH GLOBAL LTD,Equities,Information Technology,Australia,AUD,0.004128,196254,11096201.16,11096201.16
MGR AT,6161978,MIRVAC GROUP,Equities,Real Estate,Australia,AUD,0.004091,4931163,10996493.49,10996493.49
MPL AT,BRTNNQ5,MEDIBANK PVT LTD,Equities,Financials,Australia,AUD,0.003984,3432036,10707952.32,10707952.32
EDV AT,BNVS144,ENDEAVOUR GROUP LTD/AUSTRALIA,Equities,Consumer Staples,Australia,AUD,0.003975,1576087,10685869.86,10685869.86
IEL AT,BDB6DD1,IDP EDUCATION LTD,Equities,Consumer Discretionary,Australia,AUD,0.003962,346679,10649978.88,10649978.88
SEK AT,B0767Y3,SEEK LTD,Equities,Communication Services,Australia,AUD,0.003912,424307,10514327.46,10514327.46
ALX AT,BZ03TZ1,ATLAS ARTERIA LTD,Equities,Industrials,Australia,AUD,0.003772,1502035,10138736.25,10138736.25
VCX AT,BY7QXS7,VICINITY CENTRES,Equities,Real Estate,Australia,AUD,0.003725,4790200,10011518,10011518
CAR AT,BW0BGZ3,CARSALES.COM LTD,Equities,Communication Services,Australia,AUD,0.003559,415986,9567678,9567678
ALD AT,BM91201,AMPOL LTD,Equities,Energy,Australia,AUD,0.003529,298611,9486871.47,9486871.47
LYC AT,6121176,LYNAS RARE EARTHS LTD,Equities,Materials,Australia,AUD,0.003467,1124044,9318324.76,9318324.76
ORI AT,6458001,ORICA LTD,Equities,Materials,Australia,AUD,0.003371,564219,9061357.14,9061357.14
SOL AT,6821807,WASHINGTON H SOUL PATTINSON &,Equities,Energy,Australia,AUD,0.003311,305324,8900194.6,8900194.6
AKE AT,BLSNC78,ALLKEM LTD,Equities,Materials,Australia,AUD,0.003214,726561,8638810.29,8638810.29
IPL AT,6673042,INCITEC PIVOT LTD,Equities,Materials,Australia,AUD,0.003193,2431297,8582478.41,8582478.41
CHC AT,B15F6S6,CHARTER HALL GROUP,Equities,Real Estate,Australia,AUD,0.003122,578268,8390668.68,8390668.68
WHC AT,B1XQXC4,WHITEHAVEN COAL LTD,Equities,Energy,Australia,AUD,0.002979,1060544,8007107.2,8007107.2
REA AT,6198578,REA GROUP LTD,Equities,Communication Services,Australia,AUD,0.00295,62730,7930953.9,7930953.9
AZJ AT,B87CVM3,AURIZON HOLDINGS LTD,Equities,Industrials,Australia,AUD,0.0029,2279636,7796355.12,7796355.12
CWY AT,BYQ8KW7,CLEANAWAY WASTE MANAGEMENT LTD,Equities,Industrials,Australia,AUD,0.002781,2778506,7474181.14,7474181.14
ALQ AT,B86SZR5,ALS LTD,Equities,Industrials,Australia,AUD,0.002774,590357,7456208.91,7456208.91
WOR AT,6562474,WORLEY LTD,Equities,Energy,Australia,AUD,0.002656,464465,7138827.05,7138827.05
BEN AT,6091280,BENDIGO & ADELAIDE BANK LTD,Equities,Financials,Australia,AUD,0.002528,707226,6796441.86,6796441.86
LLC AT,6512004,LENDLEASE CORP LTD,Equities,Real Estate,Australia,AUD,0.002482,859631,6670736.56,6670736.56
SDF AT,BCT5FD7,STEADFAST GROUP LTD,Equities,Financials,Australia,AUD,0.002448,1164813,6581193.45,6581193.45
EVN AT,B3X0F91,EVOLUTION MINING LTD,Equities,Materials,Australia,AUD,0.002433,2262705,6539217.45,6539217.45
QUB AT,B1L4BC6,QUBE HOLDINGS LTD,Equities,Industrials,Australia,AUD,0.002327,2070836,6253924.72,6253924.72
JBH AT,6702623,JB HI-FI LTD,Equities,Consumer Discretionary,Australia,AUD,0.002304,135997,6191943.41,6191943.41
ALU AT,6167697,ALTIUM LTD,Equities,Information Technology,Australia,AUD,0.002175,144772,5845893.36,5845893.36
NXT AT,B5LMKP4,NEXTDC LTD,Equities,Information Technology,Australia,AUD,0.002174,573398,5842925.62,5842925.62
BOQ AT,6076243,BANK OF QUEENSLAND LTD,Equities,Financials,Australia,AUD,0.002119,810250,5696057.5,5696057.5
